,0
Amount_Requested,0.30199068174032345
Interest_Rate,0.9824314945202826
Loan_Length,0.38634204426606356
Debt_To_Income_Ratio,0.17877152767964183
Monthly_Income,0.014244571942061022
Open_CREDIT_Lines,0.06833099652600551
Revolving_CREDIT_Balance,0.07978930001002027
Inquiries_in_the_Last_6_Months,0.1774268288833352
Employment_Length,0.03602737869437006
FICO_SCORE,-0.7441955006129852
Loan_Purpose_credit_card,0.005053895414026621
Loan_Purpose_debt_consolidation,0.13356483392468319
Loan_Purpose_educational,-0.03667330445743196
Loan_Purpose_home_improvement,-0.097747560602258
Loan_Purpose_house,0.0031788884833775536
Loan_Purpose_major_purchase,-0.11181161285912021
Loan_Purpose_medical,-0.04523505377655043
Loan_Purpose_moving,0.009555671936950694
Loan_Purpose_other,0.007845442002754293
Loan_Purpose_renewable_energy,-0.03153126821186546
Loan_Purpose_small_business,-0.011296456574980355
Loan_Purpose_vacation,-0.02511722763206161
Loan_Purpose_wedding,-0.026596729213631223
Home_Ownership_MORTGAGE,-0.07972482638257461
Home_Ownership_NONE,-0.030303519325749043
Home_Ownership_OTHER,0.03242219990752867
Home_Ownership_OWN,-0.013739650794664588
Home_Ownership_RENT,0.08600892777203957
ln_Interest_Rate,0.9999999999999999
